"user_id","user_name","user_real_name","user_password","user_newpassword","user_email","user_options","user_touched","user_token","user_email_authenticated","user_email_token","user_email_token_expires","user_registration","user_newpass_time","user_editcount","user_password_expires"
1,"Hoo man","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026200049,NULL,740,NULL
2,"Reedy","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026200138,NULL,1422,NULL
3,"Nemo bis","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026200323,NULL,2288,NULL
4,"Igna","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026200345,NULL,588,NULL
9,"Leinad","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026200726,NULL,87,NULL
12,"Savh","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201024,NULL,195,NULL
13,"Aude","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201257,NULL,15630,NULL
15,"Khestwol","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201500,NULL,56,NULL
16,"Stefan2","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201611,NULL,59,NULL
18,"Jeroen De Dauw","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201631,NULL,70,NULL
23,"Gorlingor","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201913,NULL,34,NULL
24,"Abián","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026201932,NULL,1851,NULL
27,"Lydia Pintscher (WMDE)","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026202043,NULL,2958,NULL
31,"Zmaj123","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026202239,NULL,4938,NULL
39,"Raymond","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026203041,NULL,12627,NULL
45,"Krenair","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026203511,NULL,2443,NULL
48,"Eloquence","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026203908,NULL,95,NULL
49,"Slomox","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026203959,NULL,3295,NULL
51,"^demon","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026204716,NULL,14,NULL
56,"Ebraminio","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026205606,NULL,6728,NULL
57,"Itti","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026205739,NULL,402,NULL
58,"Darkdadaah","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026205759,NULL,55,NULL
61,"Tobijat","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026210016,NULL,973,NULL
65,"MSchnitzler2000","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026210349,NULL,8071,NULL
72,"Maciejr","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026211231,NULL,1832,NULL
106,"DerHexer","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026222030,NULL,15354,NULL
125,"Crufjsa","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026224038,NULL,41,NULL
134,"Geovani.s","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026225519,NULL,143,NULL
155,"Jeblad","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121026234905,NULL,1820,NULL
159,"Mutante","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027000121,NULL,6178,NULL
160,"Zoldyick","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027000138,NULL,459,NULL
161,"Johnbod","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027000310,NULL,45,NULL
165,"Heralder","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027001241,NULL,10,NULL
178,"Karol007","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027004313,NULL,10648,NULL
192,"IrwinSantos","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027010852,NULL,323,NULL
198,"Jack No1","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027012647,NULL,15,NULL
203,"Vini 175","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027014154,NULL,44,NULL
211,"Jedi94","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027020938,NULL,13,NULL
215,"Waihorace","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027021308,NULL,150,NULL
218,"Leytor","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027021649,NULL,15,NULL
222,"RadioKAOS","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027022513,NULL,25,NULL
236,"Mediran","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027025504,NULL,183,NULL
272,"LlywelynII","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027041136,NULL,136,NULL
275,"Nihil novi","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027041948,NULL,12,NULL
305,"Jeeteshvaishya","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027053005,NULL,11,NULL
312,"Bagumba","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027054550,NULL,108,NULL
320,"Hydriz","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027055908,NULL,8770,NULL
336,"Robert Laymont","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027064701,NULL,101,NULL
348,"Charles Matthews","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027070251,NULL,58444,NULL
355,"Schnark","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027070909,NULL,889,NULL
357,"Tomasz Wachowski","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027071413,NULL,20,NULL
358,"पुणेरीपुणेकर","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027071517,NULL,10,NULL
370,"Mexicanec","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027073802,NULL,14,NULL
372,"Meno25","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027073954,NULL,1082,NULL
376,"Wiki13","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027074356,NULL,24399,NULL
382,"F Ceragioli","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027075116,NULL,249,NULL
385,"Lepsyleon","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027075636,NULL,148,NULL
392,"Crazy1880","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027080630,NULL,27031,NULL
404,"Farary","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027082611,NULL,260,NULL
405,"Massimiliano Panu","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027082631,NULL,104,NULL
416,"Glossologist","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027083822,NULL,65,NULL
418,"Csurla","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027084227,NULL,3202,NULL
420,"Kpjas","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027084744,NULL,732,NULL
421,"Bluesangrel","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027084934,NULL,53,NULL
428,"RenRen070193","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20121027085912,NULL,28,NULL
